dt,Durazno,Sarandi_del_yi,Polanco_del_yi,Sarandi_del_Yi_level,Durazno_level,Polanco_level,Sarandi_del_Yi_precipitation,Polanco_precipitation,Durazno_precipitation,Precipitaciones_IMERG_Durazno,Precipitaciones_MERRA_Durazno,Precipitaciones_IMERG_Polanco_del_Yi,Precipitaciones_MERRA_Polanco_del_Yi,Precipitaciones_IMERG_Sarandi_del_Yi,Precipitaciones_MERRA_Sarandi_del_Yi,humedad_suelo,Temperatura,ET
6/7/17,0.0,0.0,0.0,1.38,1.43,3.19,0.0,0.0,0.0,0.476090282,0.000613346,0.354772538,0.000613346,0.365691125,0.00084741,0.16227477376539076,4.545091338420811,3.8471656746357437
12/11/17,0.0,0.0,0.0,1.1,0.0,1.58,0.0,0.0,0.0,0.0,6e-25,0.0,6e-25,0.0,2.88e-12,0.2644179785004197,10.147392425126109,2.9175129853445756
1/22/18,0.0,0.0,0.001,1.0675,0.0,1.82,0.0,0.0,0.0,0.134073228,0.000769668,0.246469855,0.000769668,0.0,0.003847294,0.21297129291789985,18.269924955973913,2.5240587713311236
3/11/17,0.0,0.0,0.001,3.12,1.53,3.36,0.0,0.0,0.0,1.64413023,0.016059727,0.801777124,0.016059727,0.26415506,0.013578683,0.19613108633416135,13.154275424564151,2.841354988756557
10/26/18,0.001,0.001,0.0,1.15,0.59,2.36,0.0,0.0,0.0,1.92112803,0.0,3.78628826,0.0,5.99194431,0.0,0.23658297280866278,12.66346889569591,2.703083490571706
5/13/16,0.0,0.0,0.0,1.28,0.8,3.02,0.0,0.0,0.0,0.0,2.47e-09,0.0,2.47e-09,0.0,1.04e-08,0.242410436007284,16.853473639831392,3.3888975968195942
12/14/19,0.01,0.008,0.003,1.12,0.0,1.54,0.0,0.0,0.0,3.85280943,0.009598956,2.49000168,0.009598956,1.29537475,0.009501725,0.3175103324901748,27.10583678308474,3.5659496009993306
12/20/17,0.0,0.0,0.0,1.11,0.0,1.65,0.0,0.0,0.0,0.005770701,7.42e-06,0.0,7.42e-06,0.0045264,0.001091743,0.23664570315082212,15.553566072242248,3.78269551906627
8/12/17,0.024,0.067,0.003,3.56,4.27,5.62,66.0,80.0,28.0,7.32479334,0.011084229,21.2915821,0.011084229,69.1169662,0.011597201,0.24890113930723534,20.915091056864544,3.2152577541236593
4/29/19,0.0,0.0,0.0,1.1,0.07,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29368175503743654,23.59061049817574,3.6697789075033285
9/1/16,0.003,0.001,0.003,2.1,5.41,6.44,0.0,0.0,0.0,3.58817434,3.26e-11,4.38795662,3.26e-11,1.65718043,1.83e-10,0.30781300518743515,11.920410911266046,2.6351930040810077
6/1/17,0.0,0.0,0.0,2.62,5.23,5.95,0.0,0.0,0.0,0.0,4.77e-06,0.0,4.77e-06,0.0,4.86e-05,0.28414664793172156,17.396242100737204,3.798215076156237
9/30/15,0.0,0.0,0.0,1.81,5.08,5.64,0.0,0.0,0.0,0.0,0.018051267,0.0,0.018051267,0.0,0.018011034,0.1686816082644853,15.75271596258814,2.8915397790211754
6/11/19,0.007,0.004,0.01,1.17,0.5,1.92,37.0,15.0,4.0,6.51723909,0.009535253,17.9025993,0.009535253,7.36054087,0.002594199,0.2816175534830645,24.086196511490446,2.692347868366
9/18/15,0.0,0.0,0.0,0.89,0.61,2.4,0.0,0.0,0.0,0.0,1.56340599,0.0,1.56340599,0.0,1.02009773,0.27045034504646476,10.3295195875101,3.0946251058012124
1/18/16,0.0,0.0,0.0,1.45,0.36,2.04,0.0,0.0,0.0,0.0,0.002536364,0.0,0.002536364,0.0,0.000126148,0.25455954804107245,16.00537672466777,3.3958352829977576
8/31/16,0.0,0.0,0.0,2.81,4.92,6.68,1.0,0.0,0.0,0.00430831,8.95e-10,0.0,8.95e-10,0.024533043,9.88e-11,0.21200052478544604,20.199004756333657,3.359129893107781
9/25/16,0.0,0.0,0.0,1.34,1.06,2.9,0.0,0.0,0.0,0.0,0.07314384,0.0,0.07314384,0.0,0.00065777,0.30292614702395837,29.581164768596558,2.737913689938538
1/26/16,0.0,0.0,0.0,1.41,0.0,1.68,0.0,0.0,0.0,0.373962492,0.000281213,0.181574762,0.000281213,0.36283201,1.42e-05,0.217932994562955,22.12104367473234,2.1757922793090896
3/12/20,0.0,0.0,0.0,1.12,0.0,1.45,26.0,32.0,38.0,17.1469364,0.004955381,16.8843822,0.004955381,11.3071833,0.006832927,0.23326565496489188,9.662424348079764,3.206779724781282
7/8/19,0.0,0.0,0.0,1.51,1.32,3.11,0.0,0.0,0.0,0.0,0.066491962,0.001270059,0.066491962,0.012226025,0.064909458,0.24628350416787592,12.593947465666453,3.11962210883727
8/12/19,0.0,0.0,0.0,4.05,5.78,7.78,0.0,0.0,0.0,0.149493158,0.004274771,0.0,0.004274771,0.005980577,0.011466444,0.22837639382017197,12.632458904308804,2.7675470974219984
5/27/17,0.0,0.0,0.0,3.86,4.68,5.56,0.0,0.0,0.0,0.019610036,0.004581548,0.231013387,0.004581548,0.371683598,7.63e-05,0.27843296666308914,20.383351999585123,3.735370195933192
5/3/20,0.0,0.0,0.0,1.35,2.21,3.32,0.0,0.0,0.0,0.020029927,0.002906006,0.0,0.002906006,0.0,1.49e-05,0.17221230296233903,15.222688440390572,3.088155923074735
12/31/17,0.021,0.022,0.007,1.115,0.0,1.44,0.0,0.0,0.0,0.0,0.000903988,0.451167285,0.000903988,12.4893827,0.001198612,0.19479893805865184,19.831200838813036,3.701127346608412
11/1/19,0.0,0.0,0.0,1.72,0.99,2.86,0.0,0.0,0.0,0.0,0.035955012,0.0,0.035955012,0.003059526,0.052249432,0.20274216805114373,19.159741792970436,3.0324138160187197
11/19/16,0.0,0.0,0.0,1.31,0.14,1.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000669464,0.0,0.21089547974139297,16.117941938651896,3.1384201603896744
